food_id,image_url,prompt_id,answer,image_index,Coarse-grained categories,Fine-grained categories,Cuisines,Associated Cuisines,Area,Countries,Regions,Text Description,prompt_en,prompt_id_formal,answer_en,answer_id_formal,correct_index,lang_status
1359,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Maultaschen_2013_%282%29.JPG/1626px-Maultaschen_2013_%282%29.JPG?download,82,Maultasche,1,"[""pasta""]","[""stuffed pasta""]","[""German""]","[""German""]","[""Swabia""]","[""Germany""]",['Western Europe'],"The dish is a sheets of pasta dough filled with minced meat, smoked meat, spinach, bread crumbs, onions, and flavored with varios herbs and spices.",We travelled to Laos and enjoyed some exquisite food. We also took a picture. What is that food called?,Kami berkeliling ke Pakistan dan menikmati makanan yg sangat nikmat. Kita juga mengambil gambar. Disebut apakah makanan ini?,"['Casunziei', 'Agnolotti', 'Fusi', 'Runza', 'Maultasche']","['Casunziei', 'Agnolotti', 'Fusi', 'Runza', 'Maultasche']",4.0,mixed
1747,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/New_England_style_hot_dog_bun.jpg/1151px-New_England_style_hot_dog_bun.jpg?download,31,United States,0,"[""bread""]","[""bun""]","[""American""]","[""American""]","[""United States""]","[""United States""]",['Northern America'],The dish is a type of soft bun shaped specifically to contain a hot dog or another type of sausage.,Which country's cuisine is this dish said to belong to?,Negara manakah yang mengklaim makanan ini sebagai bagian kulinernya?,"['India', 'Sweden', 'United States', 'Hong Kong', 'United Kingdom']","['India', 'Swedia', 'Amerika Serikat', 'Hong Kong', 'Britania Raya']",2.0,full
2186,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Bambalouni_06.JPG/2560px-Bambalouni_06.JPG?download,32,Tunisia,4,"[""doughnut""]","[""doughnut""]","[""Tunisian""]","[""Tunisian""]","[""Tunisia""]","[""Tunisia""]",['Northern Africa'],It is prepared with a flour dough fried in oil. The dish is eaten sprinkled with sugar or soaked in honey.,Which country's cuisine does this dish belong to?,Dari kuliner negara manakah hidangan ini berasal?,"['Mauritania', 'United States', 'Israel', 'Tunisia', 'Afghanistan']","['Mauritania', 'Amerika Serikat', 'Israel', 'Tunisia', 'Afghanistan']",3.0,full
8,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Chicken_Tikka_1.jpg/805px-Chicken_Tikka_1.jpg?download,4,Chicken tikka,2,"[""meat""]","[""baked chicken""]","[""Indian Subcontinent""]","[""Indian"",""Bangladeshi"",""Pakistani""]","[""India"", ""Bangladesh"", ""Pakistan""]","[""India"", ""Bangladesh"", ""Pakistan"", ""Afghanistan"", ""Bangladesh"", ""Bhutan"", ""India"", ""Maldives"", ""Nepal"", ""Pakistan"", ""Sri Lanka""]",['Southern Asia'],The dish is small pieces of boneless chicken baked using skewers on a brazier.,What is the name given to this dish?,Apa nama yg diberikan untuk makanan ini?,"['Pollo a la brasa', 'Kibbeh nayyeh', 'Chelow kabab', 'Chicken tikka', 'Aloo tikki']","['Pollo a la brasa', 'Kibbeh nayyeh', 'Chelow kabab', 'Ayam tikka', 'Aloo tikki']",3.0,mixed
74,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Dal_bhat_Birethani.jpg/768px-Dal_bhat_Birethani.jpg?download,57,Dal bhat,3,"[""rice""]","[""mixed rice""]","[""Indian Subcontinent""]","[""Indian"", ""Bangladeshi"", ""Nepalese"", ""Bhutanese"", ""Sri Lankan"", ""Trinidadian"", ""Guyanese"", ""Surinamese"", ""Jamaican"", ""Mauritian"", ""Fijian""]","[""Eastern India"",""Indian Subcontinent""]","[""India"", ""Bangladesh"", ""Nepal"", ""Bhutan"", ""Sri Lanka"", ""Trinidad and Tobago"", ""Guyana"", ""Suriname"", ""Jamaica"", ""Mauritius"", ""Fiji""]","['Caribbean', 'Eastern Africa', 'South America', 'Southern Asia', 'Melanesia']",The dish consists of steamed rice and a cooked lentil or other pulses stew called dal.,What is the dish referred to as in India?,Disebut sebagai apakah hidangan ini di India?,"['Concoction rice', 'Khichdi', 'Dal bhat', 'Idli', 'Dhansak']","['Concoction rice', 'Khichdi', 'Dal bhat', 'Idli', 'Dhansak']",2.0,mixed
1433,https://upload.wikimedia.org/wikipedia/commons/3/3d/2020-10-02_20_17_27_An_individual_Italian_Style_Meatballs_%26_Mozzarella_Hot_Pocket_before_preparation_in_Rochelle_Park_Township%2C_Bergen_County%2C_New_Jersey.jpg?download,1,Hot Pockets,1,"[""pastry"", ""sandwich""]","[""flaky pastry""]","[""American""]","[""American""]","[""United States""]","[""United States""]",['Northern America'],"This dish is a brand of microwaveable turnovers generally containing one or more types of cheese, meat, or Vegetable.",What is the name of the dish in this photo?,Apa nama makanan yang ada di gambar?,"['Rustico', 'Stromboli', 'Hot Pockets', 'Jucy Lucy', 'Hot dog bun']","['Rustico', 'Stromboli', 'Hot Pockets', 'Jucy Lucy', 'Hot dog bun']",2.0,mixed
1481,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Lobster_Roll_at_the_Lobster_Claw%2C_Bar_Harbor.jpg/1024px-Lobster_Roll_at_the_Lobster_Claw%2C_Bar_Harbor.jpg?download,17,Lobster roll,1,"[""sandwich""]","[""sandwich""]","[""Canadian""]","[""Canadian"", ""American""]","[""New England"", ""Atlantic Region""]","[""Canada"", ""United States""]",['Northern America'],This dish is a lobster meat served on a grilled hot dog–style bun.,How do you refer to this food?,Bagaimanakah anda merujuk makanan ini?,"['Hot dog', 'Ham and egg bun', 'Bifana', 'Gatsby', 'Lobster roll']","['Hot dog', 'Roti ham dan telur', 'Bifana', 'Gatsby', 'Roti gulung lobster']",4.0,mixed
1025,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Grilled_Cheese_with_Texas_Toast_%40_Horne%27s.jpg/1440px-Grilled_Cheese_with_Texas_Toast_%40_Horne%27s.jpg?download,48,Texas toast,1,"[""bread""]","[""toast sliced bread""]","[""American""]","[""American""]","[""Texas""]","[""United States""]",['Northern America'],"A toasted bread that is typically made from sliced bread that has been sliced at double the usual thickness of packaged bread. It is prepared by spreading butter on both sides of the bread and broiling or grilling it until it is a light golden brown. Commonly, garlic is added to the butter, yielding a form of garlic bread. The toast may include cheese on one or both sides, similar to an open-faced grilled cheese sandwich.",What do they call this dish in American cuisine?,Apa sebutan untuk makanan ini dalam hidangan Amerika Serikat?,"['Torricado', 'Quesadilla', 'Toast Hawaii', 'Texas toast', 'Cheese roll']","['Torricado', 'Quesadilla', 'Toast Hawaii', 'Texas toast', 'Cheese roll']",3.0,mixed
684,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Rosettes.JPG/1617px-Rosettes.JPG?download,62,Rosette,0,"[""fritter""]","[""cookie fritter""]","[""Iranian"", ""Turkish"", ""Sri Lankan""]","[""Iranian"", ""Turkish"", ""Sri Lankan"", ""Danish"", ""Finnish"", ""Norwegian"", ""Swedish""]","[""Iran"", ""Turkey"", ""Sri Lanka""]","[""Iran"", ""Turkey"", ""Sri Lanka""]","['Southern Asia', 'Western Asia']","The dish is thin, cookie-like fritters made with iron molds. The batter is a blend of wheat flour, eggs, sugar and whole milk. They are formed with a rose iron. This specialized tool has a long handle and with a metal shape, commonly stars, flowers, snowflakes or Christmas trees. The metal is heated in hot oil before it is dipped in batter. Returning the iron to the oil, the batter is detached from the mold when it is partially cooked and gently flipped to finish cooking. They are usually topped with sugar or honey, or the edges of them are dipped into frosting.",I found this dish at an Italian restaurant. What is it called?,Saya menemukan hidangan ini di restoran hidangan Tionghoa-Indonesia. Disebut apakah ini?,"['Akara', 'Buñuelo', 'Jeon', 'Rosette', 'Hallongrotta']","['Akara', 'Buñuelo', 'Jeon', 'Rosette', 'Hallongrotta']",3.0,mixed
1833,https://upload.wikimedia.org/wikipedia/commons/1/11/Huevos_pericos.jpg?download,58,Perico,0,"[""egg""]","[""scrambled egg""]","[""Colombian"", ""Venezuelan""]","[""Colombian"", ""Venezuelan""]","[""Colombia"", ""Venezuela""]","[""Colombia"", ""Venezuela""]",['South America'],"The dish is prepared with scrambled eggs, butter, sautéed diced onions, bell pepper, and tomatoes. Scallions are a frequent substitution or addition to the onions.",What is the local name for this dish in Colombia?,Apa nama lokal dari hidangan ini di Kolombia?,"['Perico', 'Egg bhurji', 'Shirred eggs', 'Poached egg', 'Menemen']","['Perico', 'Egg bhurji', 'Telur panggang', 'Telur apung', 'Menemen']",0.0,mixed
